name,type,CP,adresse,latitude,longitude,telephone,prix,specialite1,specialite2,specialite3
Mamou,Restaurant,75009,"42, rue Taitbout",48.8738357,2.3354146000000355,+33 1 44 63 09 25,De 36 à 50 €,Bistrot,Néobistrot,
Le Mordant,Restaurant,75010,"61, rue de Chabrol",48.87706679999999,2.3510547,+33 9 83 40 60 04,De 36 à 50 €,Bistrot,Cuisine du marché,Bar à vins / Cave à manger
Tonton Yün ,Restaurant,75010,"96, rue d’Hauteville",48.8773422,2.351675099999966,+ 33 9 81 99 84 81,De 36 à 50 €,Asiatique,Chinois,Cuisine du marché
PNY Fbg Saint-Denis,Restaurant,75010,"50, rue du Faubourg Saint-Denis",48.8719023,2.353993800000012,+33 1 47 70 15 24,Moins de 15 €,Burgers,Lèche-doigts,
Miznon Canal,Restaurant,75010,37 Quai de Valmy,48.8691925,2.366400999999996,+33 1 48 03 47 22,Moins de 15 €,Lèche-doigts,Israélien,
Chez Justine,Restaurant,75011,"96, rue Oberkampf",48.8656838,2.377854999999954,+ 33 1 43 57 44 03,De 16 à 35 €,Brasserie,Pizzas,
L'Épicerie du Verre Volé,Restaurant,75011,"54 bis, rue de la Folie-Méricourt",48.8642882,2.371696400000019,+33 1 48 05 36 55,Moins de 15 €,Sandwichs / Bagels,Lèche-doigts,
Boulangerie Chambelland ,Restaurant,75011,"14, rue Ternaux",48.8643755,2.3732250000000477,+33 1 43 55 07 30,Moins de 15 €,Salon de thé / Pâtisserie,Sandwichs / Bagels,
Café du Coin,Restaurant,75011,"9, rue Camille Desmoulins",48.8590191,2.3809707000000344,+ 33 1 48 04 82 46,De 16 à 35 €,Bistrot,Bar à vins / Cave à manger,
La Felicità,Restaurant,75013,"55, boulevard Vincent-Auriol",48.8336874,2.371536600000013,Pas de téléphone,De 16 à 35 €,Burgers,Italien,Pizzas
Les Saveurs du Sichuan,Restaurant,75014,"34, rue Friant",48.8248167,2.3235340999999607,+33 1 71 60 10 78,De 16 à 35 €,Asiatique,Chinois,
Thieng Heng,Restaurant,75013,"50, avenue d’Ivry  ",48.8237442,2.365282200000024,+33 1 45 82 92 95,Moins de 15 €,Asiatique,Vietnamien,Sandwichs / Bagels
Le Cadoret,Restaurant,75019,"1, rue Pradier",48.8747784,2.38106700000003,+ 33 1 53 21 92 13,De 16 à 35 €,Bistrot,Café / Coffee Shop,Bar à vins / Cave à manger
Kura,Restaurant,75016,"56, rue de Boulainvilliers",48.8573238,2.275216099999966,+33 1 45 20 18 32 ,De 36 à 50 €,Asiatique,Japonais,Sushis
Koko,Restaurant,75019,"14, quai de la Loire",48.8838145,2.3718472000000475,+ 33 1 40 34 15 95,De 16 à 35 €,Asiatique,Japonais,Sushis
L’Entredgeu,Restaurant,75017,"83, rue Laugier",48.8847305,2.2914016,+33 1 40 54 97 24,De 36 à 50 €,Bistrot,Cuisine du marché,
Boutique Yam'Tcha,Restaurant,75001,"4, rue Sauval",48.8617019,2.3424474999999347,+33 1 40 26 06 06,Moins de 15 €,Chinois,Lèche-doigts,
Kokoro,Restaurant,75005,"36, rue des Boulangers",48.8462505,2.3524797000000035,+33 1 44 07 13 29,De 36 à 50 €,Cuisine du marché,Néobistrot,
Chez la Vieille,Restaurant,75001,"1, rue Bailleul",48.8609056,2.3423270000000684,+33 1 42 60 15 78,De 16 à 35 €,Bistrot,,
Luz Verde,Restaurant,75009,"24, rue Henry-Monnier",48.8803917,2.3376164000000017,+33 1 70 23 69 60,De 16 à 35 €,Mexicain,Lèche-doigts,
Beige,Restaurant,75005,"31, rue de la Parcheminerie",48.8517973,2.3444743999999673,+33 1 46 33 75 10,De 16 à 35 €,Japonais,Tapas,
Kanadé,Restaurant,75001,"8, rue de Ventadour",48.8670442,2.3345176000000265,+33 1 42 60 63 65,De 16 à 35 €,Japonais,,
Han Lim,Restaurant,75005," 6, rue Blainville",48.8445362,2.3486708000000363,+33 1 43 54 62 74,De 16 à 35 €,Asiatique,Coréen,
Sanukiya ,Restaurant,75001,"9, rue d'Argenteuil",48.8649003,2.333713200000034,+33 1 42 60 52 61,De 16 à 35 €,Japonais,,
Mamagoto,Restaurant,75010,"5, rue des Petits-Hôtels",48.8772256,2.3545000999999957,+ 33 1 44 79 03 98,De 36 à 50 €,Cuisine du marché,Néobistrot,
Au Passage,Restaurant,75011,"1 bis, passage Saint-Sébastien ",48.8615804,2.3686500000000024,+ 33 1 43 55 07 52,De 16 à 35 €,Néobistrot,Bar à vins / Cave à manger,
Da Vito,Restaurant,75011,"5, rue Sedaine",48.8557066,2.371193700000049,+33 9 50 73 12 99,Moins de 15 €,Pizzas,,
Café Chilango,Restaurant,75011,"82, rue de la Folie-Méricourt",48.8663807,2.370187499999929,+33 1 47 00 78 95,Moins de 15 €,Mexicain,Lèche-doigts,
Ravioli Nord-Est ,Restaurant,75010,"11, rue Civiale",48.8726504,2.37523920000001,+33 1 75 50 88 03,Moins de 15 €,Asiatique,Chinois,
Le Petit Cambodge Beaurepaire,Restaurant,75010,"4, rue Beaurepaire",48.8691328,2.363433799999939,+33 1 44 91 92 04,Moins de 15 €,Asiatique,Cambodgien,
Mary Celeste,Restaurant,75003,"1, rue Commines",48.861688,2.364839599999982,+33 1 42 77 98 37,De 16 à 35 €,Bar à vins / Cave à manger,,
Le Petit Varenne,Restaurant,75007,57 Rue de Bellechasse,48.85507579999999,2.320126899999991,+ 33 1 42 73 60 72,De 36 à 50 €,Néobistrot,,
Septime La Cave,Restaurant,75011,"3, rue Basfroi",48.85374660000001,2.3801829000000225,+33 1 43 67 14 87,De 16 à 35 €,Planches / Assiettes froides,Bar à vins / Cave à manger,
La Cantine du Troquet Cherche-Midi,Restaurant,75006,"79, rue du Cherche-Midi",48.847715,2.3233374999999796,+33 1 43 27 70 06,De 36 à 50 €,Bistrot,Cuisine du marché,Basque
Ten Belles Bread,Restaurant,75011,"17-19, rue Breguet",48.8579983,2.373243900000034,+33 9 67 86 08 19,Moins de 15 €,Café / Coffee Shop,Salon de thé / Pâtisserie,Lèche-doigts
Elmer l'Epicerie ,Restaurant,75003,"19, rue Notre-Dame-de-Nazareth",48.8672042,2.359798400000045,+33 1 40 09 80 47,Moins de 15 €,Planches / Assiettes froides,Bar à vins / Cave à manger,
Caractère de Cochon,Restaurant,75003,"42, rue Charlot",48.86270529999999,2.3625306999999793,+33 1 42 74 79 45,Moins de 15 €,Sandwichs / Bagels,Lèche-doigts,
Marrow,Restaurant,75010,"128, rue du Faubourg-Saint-Martin",48.8743883,2.3589067999999997,+33 9 81 34 57 00,De 16 à 35 €,Néobistrot,Bar à vins / Cave à manger,
Les Arlots,Restaurant,75010,"136, rue du Faubourg-Poissonnière",48.8806409,2.350058699999977,+ 33 1 42 82 92 01,De 36 à 50 €,Bistrot,Bar à vins / Cave à manger,
Le Siffleur de ballons,Restaurant,75012,"34, rue de Cîteaux",48.84953429999999,2.3812778999999864,+33 1 58 51 14 04,De 16 à 35 €,Planches / Assiettes froides,Bar à vins / Cave à manger,
Amarante,Restaurant,75012,"4, rue Biscornet",48.8496201,2.370114000000058,+33 7 67 33 21 25,De 36 à 50 €,Bistrot,,
Gravity Bar,Restaurant,75010,"44, rue des Vinaigriers",48.873629,2.3611462000000074,,De 16 à 35 €,Bar à vins / Cave à manger,,
Chez Mamane,Restaurant,75013,"27, rue des Cinq-Diamants",48.8285958,2.350679600000035,+33 1 45 89 58 87,De 16 à 35 €,Maghreb,Algérien,
Tempero,Restaurant,75013,"5, rue Clisson",48.8330474,2.3693799999999783,+33 9 54 17 48 88,De 16 à 35 €,Cuisine du marché,Néobistrot,Terroir
Soul Kitchen,Restaurant,75018,"33, rue Lamarck",48.8891908,2.3420937999999296,+33 1 71 37 99 95,Moins de 15 €,Biocool,Café / Coffee Shop,Salon de thé / Pâtisserie
Le Bistrot d'Antoine,Restaurant,06300,"27, rue de la Préfecture",43.6965046,7.276317100000028,+33 4 93 85 29 57,De 36 à 50 €,Bistrot,Cuisine du marché,
Marcel,Restaurant,75018,"1, villa Léandre",48.888394,2.335305100000028,+33 1 46 06 04 04,De 16 à 35 €,Café / Coffee Shop,Américain,
La Cave du Fromager,Restaurant,06300,"29, rue Benoît-Bunico",43.6965545,7.276745699999992,+33 4 93 13 07 83,De 36 à 50 €,Bistrot,Terroir,Bar à vins / Cave à manger
Ourea,Restaurant,13006,"72, rue de la Paix Marcel Paul",43.2905868,5.373371399999996,+33 4 91 73 21 53,De 36 à 50 €,Néobistrot,,
Le Débouché,Restaurant,13001,"3, boulevard National",43.3016229,5.387404300000071,+33 4 91 50 96 25,De 16 à 35 €,Bistrot,,
Le Flacon,Restaurant,33000,"43, rue de Cheverus",44.8380089,-0.575749299999984,+33 9 81 86 43 43,De 16 à 35 €,Bar à vins / Cave à manger,,
Hedone,Restaurant,31400,"2, impasse Saint-Félix",43.5963477,1.4617005000000063,+33 5 82 74 60 55,De 36 à 50 €,Biocool,Cuisine d'auteur,Cuisine du marché
La Petite Table,Restaurant,40130,"7, quai de la Pêcherie",43.6518896,-1.4335343000000194,+33 5 58 72 36 72,De 16 à 35 €,Cuisine d'auteur,,
Euskalduna,Restaurant,64130,"4, rue Pasteur",43.2196394,-0.889754000000039,+33 5 59 28 23 35,De 16 à 35 €,Néobistrot,,
Les Pipelettes,Restaurant,64000,"3, rue Valéry-Meunier",43.2960641,-0.3664797000000135,+33 5 59 98 88 06  ,De 16 à 35 €,Cuisine du marché,Néobistrot,Terroir
Breizh Café Odéon,Restaurant,75006,"1, rue de l'Odéon",48.85165079999999,2.338800499999934,+ 33 1 42 49 34 73,De 16 à 35 €,Crêperie,,
Monsieur P,Restaurant,69001,"14, rue Royale",45.77121,4.837195000000065,+33 4 82 31 87 63,De 36 à 50 €,Cuisine d'auteur,Néobistrot,
La Famille,Restaurant,69004,"18, rue Duviard",45.7754986,4.828228200000012,+33 4 72 98 83 90,De 16 à 35 €,Cuisine du marché,,
Lavomatique ,Restaurant,06300,"11, rue du Pont Vieux",43.697563,7.27619100000004,+33 4 93 55 54 18,De 16 à 35 €,Cuisine du marché,Tapas,
SaQuaNa,Restaurant,14600,"22, pl. Hamelin",49.4215556,0.23276179999993474,+33 2 31 89 40 80,Plus de 51 €,Cuisine d'auteur,,
Café des Epices,Restaurant,13002,4 Rue du Lacydon,43.2969737,5.3691590999999335,+33 4 91 91 22 69,De 36 à 50 €,Cuisine d'auteur,Néobistrot,
Le Comptoir Saoufé ,Restaurant,17000,"12, rue du Port",46.1585675,-1.151673399999936,+33 5 46 29 58 69,De 16 à 35 €,Terroir,Poissons et fruits de mer,Planches / Assiettes froides
Carabasse,Restaurant,07460,Pléoux,44.35231960000001,4.223925699999995,,De 16 à 35 €,Néobistrot,Terroir,
Douceur Piquante ,Restaurant,13002,17 Rue de l'Évêché,43.2982613,5.365831200000002,+33 6 35 21 73 69,De 16 à 35 €,Africain,Cuisine du marché,
Le Garage,Restaurant,15400,"2, route Mauriac",45.2518499,2.5390803000000233,+33 4 71 78 60 79,De 16 à 35 €,Bistrot,Auvergnat,Terroir
Nguyen-Hoang ,Restaurant,13002,"6, rue Méry",43.2982962,5.37115730000005,+33 4 91 90 71 92,Moins de 15 €,Asiatique,Vietnamien,
Les Huîtres de Trousse-Chemise,Restaurant,17880,Route de la Levée-Verte,46.2328505,-1.4943514999999934,,Moins de 15 €,Guinguette,Poissons et fruits de mer,
Les Caves Madeleine,Restaurant,21200,"8, rue du Faubourg-Madeleine",47.0213663,4.84092899999996,+33 3 80 22 93 30,De 36 à 50 €,Bistrot,Terroir,Bar à vins / Cave à manger
Libertalia ,Restaurant,20253,1850 D81,42.6975187,9.361437199999955,,De 16 à 35 €,Biocool,Corse,Viandes / Grillades
La Dilettante,Restaurant,21200,"11, rue du Faubourg-Bretonnière",47.0215311,4.832962299999963,+33 3 80 21 48 59,De 16 à 35 €,Terroir,Sandwichs / Bagels,Planches / Assiettes froides
Hinoki,Restaurant,29200,"6, rue des Onze-Martyrs",48.3908232,-4.483765800000015,+33 2 98 43 23 68,Plus de 51 €,Asiatique,Japonais,Sushis
La Famille ,Restaurant,30700,"9, pl. aux Herbes",44.0118655,4.41907029999993,+33 9 72 83 90 76 ,De 16 à 35 €,Bar à vins / Cave à manger,,
Le 292,Restaurant,38000,"95, rue Saint-Laurent",45.1952794,5.729250200000024,+33 4 76 29 22 92,De 16 à 35 €,Cuisine du marché,Table d'hôte,
Bird,Restaurant,91330,"38, rue Charles-de-Gaulle",48.7164794,2.4907881000000316,+33 1 79 93 28 81,De 16 à 35 €,Cuisine du marché,Néobistrot,
L'Inattendu,Restaurant,64100,"23, rue des Cordeliers",43.4892742,-1.4732581000000664,+33 5 59 59 83 44,De 16 à 35 €,Bistrot,Cuisine d'auteur,Cuisine du marché
Racines,Restaurant,75002,"8, passage des Panoramas",48.87125160000001,2.3418543000000227,+ 33 1 40 13 06 41,De 36 à 50 €,Bistrot,Italien,
Mampuku,Restaurant,33000,"9, rue Ausone",44.8383098,-0.5686336999999639,+33 5 56 81 18 75,De 16 à 35 €,Asiatique,Cuisine d'auteur,
Madame Pang,Restaurant,33000,"16, rue de la Devise",44.8398252,-0.5715597999999318,+33 5 56 38 47 13,De 16 à 35 €,Asiatique,Tapas,Nourritures mondaines
Les P’tits Fayots ,Restaurant,31000,"8, rue de l’Esquile ",43.6063566,1.4418911999999864,+33 5 61 23 20 71,De 36 à 50 €,Cuisine d'auteur,Cuisine du marché,Néobistrot
L'Épicurien,Restaurant,68000,"11, rue Wickram",48.0741417,7.360317799999962,+33 3 89 41 14 50,De 36 à 50 €,Bistrot,Bar à vins / Cave à manger,
La Quille ,Restaurant,68100,"10, rue de la Moselle",47.7481441,7.339948800000002,+33 3 89 44 41 30,De 16 à 35 €,Planches / Assiettes froides,Bar à vins / Cave à manger,
SEASONS FOOD TRUCK,Restaurant,33000,,44.8350088,-0.587268999999992,,Moins de 15 €,Biocool,Lèche-doigts,
La Canfouine,Restaurant,33950,75 Rue Sainte-Catherine,44.7001012,-1.2292737999999872,,Moins de 15 €,Poissons et fruits de mer,,
Kamouraska,Restaurant,74000,"6, passage de la Cathédrale",45.8994104,6.125707299999931,+ 33 9 50 78 82 96,De 16 à 35 €,Cuisine d'auteur,Bar à vins / Cave à manger,
La Table Breizh Café,Restaurant,35260,"7, quai Admis-en-Chef-Thomas",48.6709446,-1.8518056000000342,+33 2 99 89 56 46,Plus de 51 €,Asiatique,Japonais,Cuisine d'auteur
Bercail,Restaurant,35000,"33, rue Sainte Mélanie",48.1149202,-1.6756032000000687,+33 2 99 87 50 25,De 36 à 50 €,Cuisine d'auteur,Néobistrot,
L’ARRIVAGE,Restaurant,34200,"15, rue André-Portes",43.4019628,3.6959309000000076,,De 36 à 50 €,Bistrot,Bar à vins / Cave à manger,
Les Planeurs,Restaurant,31200,"56, bd des Minimes",43.6164076,1.4395237999999608,+33 9 86 51 56 95,De 16 à 35 €,Bistrot,Cuisine d'auteur,Cuisine du marché
Le Saint-Bonheur,Restaurant,34190,"634, av. du Chemin-Neuf",43.8997894,3.7368132999999943, +33 4 67 65 73 44,De 16 à 35 €,Néobistrot,Bar à vins / Cave à manger,
Le Saint Barth’,Restaurant,34340,Montpénèdre,43.382545,3.5565259999999626,+33 4 99 43 97 58 ,De 16 à 35 €,Poissons et fruits de mer,,
L’Avant-comptoir des Neiges au M de Megève,Restaurant,74120,"15, route de Rochebrune",45.8548783,6.616669499999944,+33 4 50 21 41 09,De 16 à 35 €,Tapas,Terroir,Bar à vins / Cave à manger
Refuge de Porcherey,Restaurant,74170,"1380, Chemin de Porcherey",45.8419816,6.706618800000001,+33 6 80 64 01 43,De 16 à 35 €,,,
La Racine et la Moelle,Restaurant,46100,"6, rue du Consulat",44.609105,2.0347239000000172,+33 9 83 53 81 58   ,De 16 à 35 €,Cuisine du marché,Néobistrot,
Aux Bons Crus,Restaurant,75011,"54, rue Godefroy-Cavaignac",48.8572177,2.3800160000000687,+33 1 45 67 21 13,De 16 à 35 €,Bistrot,Brasserie,
Les Becs à Vin,Restaurant,45000,"8, place du Châtelet",47.8985451,1.907081299999959,+33 9 65 16 64 09,De 16 à 35 €,Bistrot,Cuisine du marché,Terroir
Hirsinger,Restaurant,39600,"39, place de la Liberté",46.9033144,5.772620299999971,+33 3 84 66 06 97,Moins de 15 €,Salon de thé / Pâtisserie,,
Autour d'un Cep,Restaurant,49100,"9, rue Baudrière",47.4722592,-0.5568057000000408,+33 2 41 42 61 00,De 36 à 50 €,Bistrot,Cuisine du marché,
La Grangée,Restaurant,58110,Le Bourg,47.033817,3.6405190000000403,+33 3 86 76 11 56,De 16 à 35 €,Cuisine du marché,Néobistrot,
La Tambouillette,Restaurant,47200,"15, rue de l’Hirondelle",44.4969609,0.1661269999999604,+33 5 53 93 41 17,Moins de 15 €,Cuisine du marché,Terroir,
Le Vert Mont ,Restaurant,59299,"1318, rue du Mont-Noir",50.7929033,2.70336420000001,+33 3 28 49 41 26,De 36 à 50 €,Cuisine d'auteur,Terroir,
Le Cabaret,Restaurant,66740,Mas des Trompettes Hautes,42.527849,2.853349200000025,+33 4 68 83 34 57,De 36 à 50 €,Cuisine du marché,Terroir,Table d'hôte
Mamasan,Restaurant,69002,"46, rue Ferrandière",45.7620152,4.837425100000019,+33 4 78 37 44 84,De 16 à 35 €,Asiatique,Vietnamien,
Burger Fermier des Enfants Rouges ,Restaurant,62520,"49, rue de Calais",50.52735029999999,1.5885983000000579,+33 3 21 05 27 21,Moins de 15 €,Burgers,Lèche-doigts,
Chez Mattin,Restaurant,64500,"63, rue Evariste-Baignol",43.3826478,-1.6693595000000414,+33 5 59 47 19 52,De 36 à 50 €,Bistrot,Basque,Terroir
L'Argot,Restaurant,69006,"132, rue Bugeaud ",45.766959,4.856062999999949,+33 4 78 24 57 88,De 16 à 35 €,Viandes / Grillades,,
La Table / Sébastien Gravé,Restaurant,64100,"21, quai Amiral-Dubourdieu",43.49171219999999,-1.474546700000019,+33 5 59 46 14 94,De 36 à 50 €,Cuisine d'auteur,Cuisine du marché,
La Marine,Restaurant,85330,"5, rue Marie-Lemonnier",47.0236999,-2.299921700000027,+33 2 51 39 23 09,Plus de 51 €,Cuisine d'auteur,,
Au Fil du Temps ,Restaurant,84210,"51, pl. Louis-Giraud",43.9973325,5.058942800000068,+33 4 90 30 09 48,De 36 à 50 €,Cuisine du marché,Néobistrot,
La Table Haute de La Mirande ,Restaurant,84000,"4, pl. de l’Amirande",43.94996800000001,4.807816099999968,+33 4 90 14 20 20 ,Plus de 51 €,Bistrot,Cuisine du marché,Table d'hôte
Union,Restaurant,73210,Immeuble Le Signal,45.5344585,6.635117000000037,+33 4 79 55 51 07,De 36 à 50 €,Néobistrot,,
Le Chat Bleu,Restaurant,76310,"6, rue du Roi-Albert",49.5027273,0.08565939999994043,+33 2 35 47 10 24,Moins de 15 €,Tapas,Salon de thé / Pâtisserie,Bar à vins / Cave à manger
La Cour de Ferme de l'Auberge La Fenière,Restaurant,84160,Route de Lourmarin,43.74882900000001,5.3643030000000635,+33 4 90 68 11 79,De 36 à 50 €,Cuisine du marché,Méditerranéen,Terroir
Le Chastellux ,Restaurant,89630,"16, route du Lac",47.3840416,3.899305799999979,+33 3 86 32 08 83,De 16 à 35 €,Cuisine du marché,Néobistrot,
En mets fais ce qu’il te plaît,Restaurant,69007,"43, rue Chevreul",45.7487796,4.839740699999993,+33 4 78 72 46 58,De 36 à 50 €,Cuisine d'auteur,Cuisine du marché,
L’Entre Deux,Restaurant,64200,"5, av. du Maréchal-Foch",43.4757751,-1.5572611000000052,+ 33 5 59 22 51 50,Plus de 51 €,Cuisine d'auteur,Cuisine du marché,Néobistrot
Chéri Bibi,Restaurant,64200,"50, rue d’Espagne",43.4745482,-1.5638833000000432,+33 5 59 41 24 75,De 16 à 35 €,Bistrot,Terroir,Bar à vins / Cave à manger
Les Bouteilles,Restaurant,44000,"11, rue de Bel-Air",47.2210925,-1.559213199999931,+33 2 40 08 27 65,De 36 à 50 €,Cuisine du marché,Bar à vins / Cave à manger,
Le Derwin,Restaurant,44740,Route du Dervin,47.27000080000001,-2.46724949999998,+33 2 40 23 90 06,Moins de 15 €,Crêperie,Poissons et fruits de mer,
Double Dragon,Restaurant,75011,"52, rue Saint-Maur",48.8626015,2.3798916000000645,+33 1 71 32 41 95,De 36 à 50 €,Asiatique,,
Les Pantins,Restaurant,93500,"6, rue Victor Hugo",48.895271,2.4017954999999347,+33 1 57 14 38 74,De 16 à 35 €,Bistrot,Bar à vins / Cave à manger,
Yaya Secrétan,Restaurant,75019,"33, avenue Secrétan",48.8811718,2.3738042999999607,+33 1 42 41 12 86,De 16 à 35 €,Grec,Méditerranéen,Néobrasserie
Auberge des Baronnies,Restaurant,05700,D994,44.41574440000001,5.613986699999941,+33 6 51 12 91 38,De 16 à 35 €,Bistrot,,
Le Kitchen Café,Restaurant,69007,"34, rue Chevreul",45.748438,4.8398268999999345,+33 6 03 36 42 75,De 16 à 35 €,Biocool,Café / Coffee Shop,Néobistrot
Le Ruisseau,Restaurant,75018,"65, rue du Ruisseau",48.89445,2.3405290000000605,+33 1 42 23 31 23,Moins de 15 €,Burgers,Lèche-doigts,
Le Petit Cambodge,Restaurant,75010,"20, rue Alibert",48.8716721,2.368088299999954,+33 1 42 45 80 88,De 16 à 35 €,Asiatique,Cambodgien,
Dilia,Restaurant,75020,"1, rue d’Eupatoria",48.8686477,2.3862020000000257,+33 09 53 56 24 14,De 16 à 35 €,Cuisine d'auteur,Néobistrot,
Perruche ,Restaurant,75009,"2, rue du Havre ",48.8740052,2.3272280999999566,+33 1 42 82 60 00 ,De 36 à 50 €,Nourritures mondaines,Néobrasserie,
Yima,Restaurant,13001,"27, rue d'Aubagne",43.2952123,5.379814699999997,,De 16 à 35 €,Méditerranéen,Végétarien,Lèche-doigts
Le Bistrot du CAM,Restaurant,13016,"1, plage de l'Estaque",43.3592576,5.316591499999959,+33 9 83 75 48 66,De 16 à 35 €,Néobistrot,,
Miettes,Restaurant,94300,"87, rue de Fontenay",48.8481769,2.436612700000069,,Moins de 15 €,Café / Coffee Shop,Salon de thé / Pâtisserie,Snack / Tartes / Salades / Soupes / Bols
Pho 13 ,Restaurant,75013,"135, avenue de Choisy ",48.8268989,2.359083999999939,+33 1 45 86 59 15,De 16 à 35 €,Asiatique,Vietnamien,
La Cantine de Nour d'Egypte ,Restaurant,13001,"10, rue Bernex",43.3009497,5.388191000000006,+33 9 80 63 06 56,De 16 à 35 €,Méditerranéen,Salon de thé / Pâtisserie,Sandwichs / Bagels
La Bicyclette,Restaurant,75019,"5, rue de Chaumont",48.8813335,2.372204600000032,,Moins de 15 €,Bistrot,Cuisine du marché,
Ma Kitchen ,Restaurant,75010,"85, rue d’Hauteville",48.8769775,2.3512273999999707,+33 9 83 07 29 96,Moins de 15 €,Coréen,Lèche-doigts,
Café Varenne ,Restaurant,75007,"36, rue de Varenne",48.8541245,2.323543500000028,+33 1 45 48 62 72,De 36 à 50 €,Bistrot,Café / Coffee Shop,
Mirazur,Restaurant,06500,"30, av. Aristide-Briand",43.7857806,7.527918499999942,+33 4 92 41 86 86,Plus de 51 €,Cuisine d'auteur,,
Närenj,Restaurant,45000,"178, rue de Bourgogne",47.9003695,1.9112594000000627,,De 16 à 35 €,Syrien,,
LuluRouget,Restaurant,44200,"4, place Albert-Camus",47.2049033,-1.5619755000000168,+33 2 40 47 47 98,De 36 à 50 €,Néobistrot,,
Magnolia Cafe ,Restaurant,40150,"173, avenue des Couteliers ",43.6720504,-1.384803599999941,+33 9 50 39 33 13 ,Moins de 15 €,Biocool,Salon de thé / Pâtisserie,Végétarien
Les Cailloux,Restaurant,75013,"58, rue des Cinq-Diamants",48.8277075,2.3493086999999377,+33 1 45 80 15 08,De 36 à 50 €,Italien,,
Amici Miei,Restaurant,75011,"44, rue Saint-Sabin ",48.8582154,2.3693737,+33 1 42 71 82 62,De 16 à 35 €,Italien,Pizzas,
L'Entente,Restaurant,75002,"13, rue Monsigny",48.8691377,2.3353950000000623,+33 1 47 42 92 35,De 36 à 50 €,Néobrasserie,,
Komatsubaki,Restaurant,75008,"3, rue d’Artois",48.8722719,2.3087754000000587,+ 33 1 42 25 26 78,Plus de 51 €,Japonais,Sushis,
Jixiao’s Buns,Restaurant,75006,"19, quai des Grands Augustins",48.854059,2.343417400000021,+33 1 42 02 77 37,Moins de 15 €,Chinois,Lèche-doigts,
Au Pot de Vin,Restaurant,06400,"20, rue Commandant-Vidal",43.5531458,7.026762200000007,+ 33 4 93 68 66 18,De 36 à 50 €,Bistrot,,
Pizza Chic,Restaurant,75006,"13, rue de Mézières",48.8501939,2.3305947999999717,+33 1 45 48 30 38,De 16 à 35 €,Italien,Pizzas,
Hôi An ,Restaurant,75013,"109, avenue d'Ivry ",48.82541320000001,2.3611042999999654,+33 1 44 24 81 03,De 16 à 35 €,Asiatique,Vietnamien,
Le Saint Sébastien,Restaurant,75011,"42, rue Saint-Sébastien",48.8615124,2.3710433999999623,,De 36 à 50 €,,,
Le Saint Eutrope ,Restaurant,63000,"4, rue Saint-Eutrope",45.78130290000001,3.082430899999963,+33 4 73 34 30 41,De 16 à 35 €,Biocool,Bistrot,Bar à vins / Cave à manger
Rooster,Restaurant,75017,"137, rue Cardinet",48.886801,2.313211000000024,+33 1 45 79 91 48,Plus de 51 €,Néobistrot,,
Sellae,Restaurant,75013,"18, rue des Wallons",48.838707,2.3596089999999776,+33 1 43 31 36 04,De 36 à 50 €,Néobistrot,,
